,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval)
48,MSIIP_PBPK,0.5741221470328469,0.7162649959269004,0.1421428488940535,1.9254488691409882e-08,0.2700975749218244,0.4171754753253497,0.1470779004035253,3.086020845482521e-06,0.6359999999999999,0.598,-0.03799999999999992,0.22450915854137643,0.46817598876500766,0.39810124471404335,-0.07007474405096431,0.004229798685964689
49,UTDHLTRI_SF,0.472780186099546,0.6787301937227247,0.20595000762317872,2.5000439021108495e-11,0.17032416623316415,0.37373805281222167,0.2034138865790575,9.520479176582012e-11,0.54,0.4759999999999999,-0.06400000000000011,0.0056079715399466965,0.3648467796263985,0.3628431731710988,-0.002003606455299678,0.9323386338596511
50,RSA_DSC_LA_2,0.572494988151878,0.7176383079053495,0.1451433197534715,6.858149045228515e-08,0.2488079360710068,0.40828228950343115,0.15947435343242436,1.545565015044516e-07,0.584,0.5559999999999999,-0.028000000000000025,0.38882801536656086,0.45678392314216537,0.39238631116029077,-0.0643976119818746,0.00646370860137452
51,UNTIIA_DGS,0.2530593069374558,0.622541656559334,0.3694823496218782,5.6607504111865114e-24,0.06194387081275961,0.29189649457262035,0.22995262375986075,3.650285332856465e-12,0.312,0.37799999999999995,0.06599999999999995,0.029122504335567564,0.20951970007998766,0.2967871052168649,0.08726740513687725,0.0015485872076553063
52,SIBTMlit4,0.6449310954656596,0.7263706826628343,0.0814395871971747,0.0007324522889117195,0.32189987141723103,0.42287449116325354,0.10097461974602251,0.0008537662156341962,0.63,0.57,-0.06000000000000005,0.062115541231448586,0.502664719432775,0.41081559702669024,-0.09184912240608478,0.000374285363633563
53,UTDHLTRI_SS,0.4379287792552569,0.6658694057912694,0.2279406265360125,5.756015158209308e-13,0.15425895791911923,0.3594918852301799,0.20523292731106066,1.607758958431849e-11,0.49800000000000005,0.48999999999999994,-0.008000000000000118,0.7624235520412234,0.34220446987891384,0.34808017037517464,0.005875700496260794,0.7511091685546974
54,imi_mug_abs5,0.6222996591376372,0.7046958260490988,0.08239616691146157,0.000127512354108773,0.3150401797215227,0.4079052855704702,0.09286510584894747,0.0005998949892085224,0.604,0.5579999999999999,-0.04600000000000004,0.08380006500173091,0.4812975854742356,0.400843569186206,-0.08045401628802962,0.00012616872234329923
55,MedIER_sa13,0.6308623244269462,0.7274785863440107,0.09661626191706452,6.814569868349005e-06,0.3173819170432681,0.4249903090586967,0.1076083920154286,0.00018824684338949145,0.618,0.568,-0.050000000000000044,0.10648610588414699,0.4903193558878683,0.4068909594524425,-0.08342839643542577,0.0003045309180239402
56,UTDHLTRI_RA,0.4761297281487665,0.6763892785823981,0.20025955043363158,6.687017978552411e-11,0.18694778926047712,0.36935986867169646,0.18241207941121934,7.138758849409078e-10,0.546,0.5020000000000001,-0.04399999999999993,0.10737786684205118,0.3600813724389209,0.35581833406351193,-0.0042630383754089785,0.8320652734202845
57,minfolabTH,0.23556071093985942,0.6260242691436861,0.3904635582038267,5.865271918546924e-22,0.08783139850553162,0.30355667932019037,0.21572528081465875,3.559788069961876e-11,0.4679999999999999,0.39,-0.0779999999999999,0.020652985466869972,0.14692093455940125,0.280273345043439,0.13335241048403773,8.23025613802219e-05
58,sumAbs,0.4173689771789318,0.6350978495665184,0.2177288723875866,4.989426883460314e-14,0.16149379525540264,0.34896041667130184,0.1874666214158992,2.4675317626131496e-10,0.482,0.456,-0.025999999999999968,0.3545901629053916,0.3200106025184434,0.34363786402022123,0.023627261501777852,0.21846805469503794
59,hpipubclass,0.6445228012852888,0.7292122460944583,0.08468944480916951,3.428719873608303e-05,0.31582680526453893,0.4346865073614223,0.11885970209688335,4.7390552617229814e-05,0.7,0.602,-0.09799999999999998,0.0005296819973073831,0.5245970211038279,0.4194600372959607,-0.10513698380786718,6.957280294477914e-06
60,ECNU_S_Run4,0.014426299370258792,0.5594105026078211,0.5449842032375624,1.824193709589959e-30,0.0007645105841286457,0.2571636349382199,0.2563991243540913,1.461073929186577e-15,0.004,0.24800000000000005,0.24400000000000005,2.957556170905158e-11,0.010749913943597788,0.2581053681866229,0.2473554542430251,7.021076497828077e-12
61,SIBTMlit2,0.6394448306948517,0.7189898075965782,0.07954497690172646,0.0010789094458376342,0.32059616641221345,0.4155437110416848,0.09494754462947136,0.0021298341168632545,0.616,0.5579999999999999,-0.05800000000000005,0.10950081491968136,0.5027143343165072,0.40599883937397485,-0.0967154949425324,0.00027134767197527313
62,minfolabBA,0.26133014671218413,0.6320961396412212,0.3707659929290371,4.112348575545409e-19,0.10377104608827915,0.30710902271925616,0.20333797663097702,9.949557079410856e-10,0.502,0.384,-0.118,0.00047664844492686784,0.16696365772445684,0.2814406597468284,0.11447700202237157,0.0010547160156238636
63,imi_mug_abs2,0.6275594070724672,0.7059394899019558,0.0783800828294886,0.00025684057360900647,0.31768008348773263,0.40943214951171697,0.09175206602398434,0.0006868928692058648,0.604,0.5559999999999999,-0.04800000000000004,0.06997641497072991,0.4857296958192599,0.402114161441899,-0.08361553437736091,7.689835876124664e-05
64,hpipubcommon,0.6574189486720913,0.7308457403068968,0.07342679163480548,8.707412585822472e-05,0.32645824229607734,0.43529549164274633,0.108837249346669,0.00010747661260857735,0.7099999999999999,0.608,-0.10199999999999987,0.00046353437478317903,0.5290508917280213,0.41931038282946337,-0.10974050889855796,1.5542312626651993e-06
65,doc2vec_run2,0.002147424028153732,0.5546309282817387,0.552483504253585,6.478717865144037e-31,0.00016409716921409238,0.2562417494328139,0.2560776522635998,8.536165666405033e-15,0.006,0.252,0.246,1.7710446173831207e-10,0.001857816443967149,0.2617547513355807,0.25989693489161353,2.188248961959334e-12
66,SINAI_Base,0.5988876896077294,0.7199682695582474,0.12108057995051802,1.7843823270631375e-08,0.25817477600432176,0.4087744038432009,0.15059962783887915,1.9284389966801074e-07,0.502,0.556,0.05400000000000005,0.16084373053875223,0.44776388346338275,0.39162135218453875,-0.056142531278844,0.0036125147604072964
67,ECNU_S_Run1,0.02041830982313286,0.5510009099174711,0.5305826000943382,1.3066604479794999e-28,0.003551600201444422,0.24700729523523562,0.2434556950337912,2.442646275561694e-15,0.016,0.214,0.198,2.5478375084733608e-08,0.011136890417851817,0.2517616749606223,0.24062478454277048,1.4955060022235494e-11
68,mayomedcomp,0.44644067271034144,0.6462213245761518,0.19978065186581034,6.029383040445312e-15,0.18955466527705578,0.3660965125741795,0.17654184729712374,4.957734562404853e-12,0.512,0.516,0.0040000000000000036,0.883259614486503,0.35672163897267395,0.3616949907977914,0.004973351825117434,0.7524092913031364
69,hpipubbase,0.6133892111788571,0.7147216515767147,0.1013324403978576,5.2278460675379e-06,0.3008715163699513,0.41774935403438435,0.11687783766443305,4.7396033707084844e-05,0.6960000000000001,0.5820000000000001,-0.11399999999999999,7.410025210777174e-05,0.49116770216981037,0.40242492584786954,-0.08874277632194083,2.7624429000985278e-05
70,MedIER_sa11,0.6332163002199236,0.7289738712477599,0.09575757102783633,7.565973757614064e-06,0.3147975196360451,0.4255617626518845,0.11076424301583943,0.00012243282218844575,0.6259999999999999,0.5660000000000001,-0.05999999999999983,0.06315831785025502,0.49286198495262523,0.40827735226294304,-0.0845846326896822,0.0002576231815278586
71,imi_mug_abs4,0.6194152621550252,0.704464105002782,0.08504884284775682,0.00011777847392380909,0.31108597507609953,0.4067864726192375,0.09570049754313797,0.000431608561049249,0.59,0.5519999999999999,-0.038000000000000034,0.13823330391056318,0.4792893951815402,0.4000634658643938,-0.07922592931714639,0.00015694714028104066
72,RSA_DSC_LA_4,0.5707471397042263,0.715993087193621,0.14524594748939468,7.75247235562202e-08,0.2526237119753548,0.4087835316497864,0.1561598196744316,2.040979368273885e-07,0.5840000000000001,0.562,-0.02200000000000002,0.4930298438362284,0.45729174650189996,0.3926233513362862,-0.06466839516561379,0.006270819799262873
